Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Ruan Tressoldi;BRA;Atlético Mineiro;D (C);31/12/2028;1/7/2025;17-20;16-20;1-4;1;26;D (C);Pé Direito;Brasil;1,88 m;Rio Grande do Sul;7/6/1999;D (C);Alta;;Sassuolo;Itália;;19352206;9-15;11-17;3-7;9-13;12-16;6-10;7-13;11-17;3-7;6-10;3-7;8-12;2-6;4-8;11-15;13-19;11-17;12-16;15-19;13-17;12-16;12-16;10-16;5-11;10-14;10-16;5-9;8-12;5-9;12-16;7-13;7-11;6-10;9-13;1-6;1-4;1-4;3-7;1-5;1-3;1-5
;Ruan Victor;BRA;EC Bahia;D (C);31/12/2027;1/1/2025;-;-;-;-;17;D (C);Pé Preferido Desconhecido;Brasil;1,83 m;Bahia;30/4/2008;D (C);Acima da Média;;-;;;2000501176;-;7-15;-;-;2-12;-;-;6-14;-;8-14;-;-;-;-;7-13;-;-;-;2-12;-;-;-;-;-;11-19;-;-;-;-;3-9;-;-;-;-;-;-;-;-;-;-;-
;Ruan Yago;BRA;Palmeiras;MD, M (C);14/2/2029;29/12/2025;-;-;-;-;16;MD, M (C);Pé Preferido Desconhecido;Brasil;1,80 m;São Paulo;16/1/2009;M (C);Abaixo da Média;;-;;;2000520676;-;9-15;-;5-13;-;-;9-15;-;-;5-15;-;-;-;-;1-8;-;-;-;-;-;-;-;8-14;7-13;-;-;-;-;3-13;-;-;-;-;-;-;-;-;-;-;-;-
;Rúben Ismael;POR;Vitória;MD, M (C);30/6/2028;23/7/2025;10-14;7-13;1-5;1-4;26;MD, M (C);Pé Direito;Portugal;1,84 m;Região de Aveiro;25/3/1999;MD;Abaixo da Média;;Moreirense;;;83168101;10-14;14-18;6-12;8-14;8-12;6-10;6-10;9-13;3-7;9-13;3-7;8-14;4-10;4-8;9-13;11-15;12-16;12-18;10-14;8-12;9-15;7-13;12-16;8-12;10-14;16-20;4-10;8-14;6-10;11-15;10-14;11-15;11-15;10-16;1-4;1-3;1-5;1-4;1-3;1-4;1-5
;Rubens;BRA;Chapecoense;M/MO (D);30/11/2026;16/1/2025;9-13;10-14;1-5;1-7;22;M/MO (D);Pé Esquerdo;Brasil;1,73 m;Rio Grande do Sul;28/3/2003;MO (D);Acima da Média;;Grêmio;;;2000071101;8-14;6-10;9-13;10-14;3-7;5-11;7-13;7-11;9-13;9-15;7-11;11-15;9-13;3-7;7-13;7-13;10-14;12-16;3-7;10-14;11-15;13-17;5-11;8-12;4-8;8-12;8-12;8-12;8-12;12-18;5-11;5-9;8-14;8-12;1-6;1-4;1-5;1-3;2-6;1-6;1-3
;Rubens;BRA;RB Bragantino;GR;8/5/2026;30/12/2024;-;-;7-14;3-9;19;GR;Pé Preferido Desconhecido;Brasil;1,92 m;Santa Catarina;6/4/2006;GR;Alta;;RB Bragantino II;;;2000272159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7-15;7-14;7-16;-;7-16;-;14-20
;Ryan;BRA;RB Bragantino;D/DA (D);31/12/2029;29/12/2025;-;-;-;-;18;D/DA (D);Pé Preferido Desconhecido;Brasil;1,79 m;Rio de Janeiro;4/9/2007;D (D);Abaixo da Média;;-;;;2000378227;-;6-12;-;-;2-9;-;-;-;-;9-18;-;-;10-17;-;6-15;-;10-16;-;-;-;-;12-19;-;-;5-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
For;Ryan Evaristo;BRA;Corinthians;MO (C), PL (C);31/12/2026;1/7/2025;-;-;-;-;17;MO (C), PL (C);Pé Preferido Desconhecido;Brasil;1,76 m;São Paulo;14/3/2008;MO (C);Acima da Média;;-;;;2002043488;8-16;-;-;11-17;-;-;13-20;-;-;9-17;11-20;-;-;-;-;-;-;-;-;-;-;-;-;2-10;-;-;-;-;5-11;-;-;-;3-11;-;-;-;-;-;-;-;-
;Ryan Felipe;BRA;Atlético Mineiro;M/MO (EC);31/12/2027;1/9/2024;-;-;-;-;19;M/MO (EC);Pé Preferido Desconhecido;Brasil;1,74 m;São Paulo;28/7/2006;MO (E);Média;;São Paulo;;;2000229237;-;-;-;3-12;-;-;-;-;-;8-14;1-7;10-19;3-12;-;-;-;13-20;-;-;-;11-20;7-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ryan Francisco;BRA;São Paulo;PL (C);31/12/2029;29/12/2025;6-11;5-11;1-4;1-2;19;PL (C);Pé Esquerdo;Brasil;1,75 m;São Paulo;21/11/2006;PL (C);Acima da Média;;SKA Brasil;;;2000263566;10-17;1-8;10-15;8-14;6-11;1-6;7-14;7-14;10-15;7-12;12-17;9-14;6-12;11-16;4-9;9-16;8-15;9-15;11-16;11-16;10-15;10-16;7-14;4-11;7-12;4-11;11-16;5-11;12-17;7-12;11-18;12-17;8-13;10-15;1-6;1-6;1-3;1-6;1-6;1-3;1-3
;Ryan Gabriel;BRA;Santos;D (C);31/5/2027;11/6/2024;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,80 m;;14/3/2007;D (C);Abaixo da Média;;Guarani FC;;;2000379976;-;13-20;-;-;7-15;-;-;13-20;-;8-15;-;-;-;-;7-14;-;-;-;5-13;-;-;-;-;-;5-14;-;-;-;-;19-20;-;-;-;-;-;-;-;-;-;-;-
;Ryan Roberto;BRA;Flamengo;MO (C);3/3/2027;5/3/2024;-;-;-;-;17;MO (C);Pé Preferido Desconhecido;Brasil;1,64 m;;5/3/2008;MO (C);Média;;-;;;2000372640;10-20;-;-;6-14;-;-;2-12;-;-;5-13;10-16;-;-;-;-;-;-;-;-;-;-;-;-;1-11;-;-;-;-;12-20;-;-;-;1-7;-;-;-;-;-;-;-;-
;Sabino;BRA;São Paulo;D (C);31/12/2027;20/3/2024;12-16;9-13;1-5;1-3;29;D (C);Somente Pé Esquerdo;Brasil;1,84 m;Distrito Federal;25/10/1996;D (C);Abaixo da Média;;Sport Recife;;;19258926;10-14;12-16;15-19;9-13;12-18;7-13;7-11;13-17;6-10;8-14;8-12;11-15;4-8;5-11;11-17;12-16;10-14;10-14;12-18;13-17;12-16;9-13;13-17;7-11;11-15;12-16;11-15;8-12;8-14;8-14;10-14;11-17;9-15;13-17;1-5;1-4;2-6;1-7;1-2;1-4;1-4
;Alan Saldivia;URU;Vasco da Gama;D (C);31/12/2028;29/12/2025;13;14;4;2;23;D (C);Pé Direito;Uruguai;1,80 m;Rivera;6/4/2002;D (C);Média;;Colo Colo;;;78097775;11;13;6;12;12;8;7;13;6;11;5;8;6;6;13;12;10;14;12;13;10;10;13;10;13;14;6;11;7;13;12;12;10;13;3;2;2;1;1;3;1
;Samuel;BRA;Atlético Mineiro;D (C);31/12/2027;7/8/2025;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,85 m;Ceará;9/2/2006;D (C);Acima da Média;;Santos;;;2000207233;-;4-11;-;-;6-12;-;-;3-10;-;5-13;-;-;-;-;6-14;-;-;-;7-13;-;-;-;-;-;10-19;-;-;-;-;8-16;-;-;-;-;-;-;-;-;-;-;-
For;Samuel Alves;BRA;Botafogo;PL (C);31/12/2026;1/2/2025;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,87 m;;30/3/2008;PL (C);Média;;Flamengo;;;2000491203;-;-;-;5-11;-;-;-;2-10;-;9-17;11-20;-;-;-;3-11;-;5-13;-;9-15;-;-;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Samuel Jhonathan;BRA;São Paulo;MD, M (C);31/3/2029;12/5/2025;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,85 m;São Paulo;19/1/2007;MD;Média;;-;;;2000378984;-;6-12;-;3-10;-;-;3-9;-;-;2-11;-;-;-;-;4-13;-;-;-;-;-;-;-;10-16;6-12;-;-;-;-;5-14;-;-;-;-;-;-;-;-;-;-;-;-
;Samuel Lino;BRA;Flamengo;M (E), MO (DE);31/12/2029;29/7/2025;8-14;9-13;1-7;2-6;26;M (E), MO (DE);Pé Direito;Brasil;1,78 m;São Paulo;23/12/1999;MO (E);Abaixo da Média;;Atlético Madrid;;;19320258;10-14;7-13;9-13;11-15;7-11;7-11;8-12;3-9;5-11;13-17;7-13;13-17;11-15;6-10;10-14;10-14;14-20;14-18;5-9;9-15;13-17;14-18;10-14;11-17;5-11;10-16;10-14;5-9;11-15;13-17;7-11;9-13;11-15;11-15;1-3;1-3;1-5;1-5;1-4;2-6;1-5
;Samuel Pierri;BRA;Santos;MD, M (C);30/4/2027;28/5/2024;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,89 m;;30/1/2008;MD;Abaixo da Média;;-;;;2000491168;-;1-11;-;6-14;-;-;6-16;-;-;2-10;-;-;-;-;1-8;-;-;-;-;-;-;-;13-20;1-11;-;-;-;-;9-17;-;-;-;-;-;-;-;-;-;-;-;-
;Samuel Rodrigues;BRA;Atlético Mineiro;D/DA (D);31/12/2028;1/2/2025;-;-;-;-;16;D/DA (D);Pé Preferido Desconhecido;Brasil;1,85 m;;16/1/2009;D (D);Abaixo da Média;;Referência;;;2000530316;-;11-19;-;-;2-12;-;-;-;-;8-14;-;-;9-19;-;6-12;-;7-15;-;-;-;-;10-20;-;-;10-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Samuel Sousa;BRA;RB Bragantino;D/DA (E);31/12/2028;29/12/2025;-;-;-;-;18;D/DA (E);Pé Preferido Desconhecido;Brasil;1,81 m;;20/1/2007;D (E);Média;;Sport Recife;;;2000264527;-;11-17;-;-;7-16;-;-;-;-;8-17;-;-;6-13;-;1-9;-;9-15;-;-;-;-;5-12;-;-;5-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Samuel Xavier;BRA;Fluminense;D/DA/M (D);31/12/2027;29/12/2025;10-14;11-17;4-8;1-5;35;D/DA/M (D);Pé Direito;Brasil;1,66 m;São Paulo;6/6/1990;D (D);Acima da Média;;Ceará;;;19100038;11-15;13-17;8-14;8-14;10-14;11-15;8-12;9-13;4-8;10-14;6-10;10-16;8-14;9-13;7-11;11-15;13-17;8-14;2-6;9-13;11-17;10-16;12-16;12-16;8-12;14-18;12-18;6-12;9-13;12-16;11-15;10-14;11-15;10-16;1-4;1;1-6;1-5;1-5;1-3;2-6
;Mateo Sanabria;ARG;EC Bahia;MO (DE);31/12/2030;26/8/2025;7-11;8-12;1-3;1-6;21;MO (DE);Pé Direito;Argentina;1,72 m;Buenos Aires;31/3/2004;MO (E);Alta;;Al-Ain FC;;;2000044144;13-17;5-9;6-10;7-11;4-10;2-8;7-11;5-9;8-12;9-15;7-11;15-19;8-12;8-14;4-10;9-13;10-14;6-10;5-11;12-16;15-19;11-15;10-14;9-13;6-10;6-10;12-16;1-5;12-18;6-12;8-12;7-13;9-15;12-16;1-3;1-5;3-7;1-6;1;1-6;1-3
;Agustín Sant'Anna;URU;RB Bragantino;D (DE), DA/M (D);31/12/2027;5/2/2025;13-17;11-17;1-5;1-3;28;D (DE), DA/M (D);Pé Direito;Uruguai;1,73 m;Montevideo;27/9/1997;D (D);Acima da Média;;River Plate;;;78079054;10-14;10-14;3-7;10-16;8-14;13-17;13-17;7-11;14-18;9-13;12-16;9-13;11-17;10-16;8-12;11-15;11-15;10-16;2-8;11-15;9-13;11-17;10-14;10-14;11-15;12-16;11-15;6-12;7-13;9-13;9-13;6-12;7-11;9-13;1-4;3-7;1-2;1-5;1-7;1-5;1-5
;Santos;BRA;Athletico-PR;GR;31/12/2026;13/1/2024;9-15;8-12;12-18;14-18;35;GR;Somente Pé Direito;Brasil;1,88 m;Paraíba;17/3/1990;GR;Acima da Média;Fortaleza;Flamengo;;;19148968;4-8;1-7;1-4;8-12;3-7;2-6;1;4-10;5-11;10-14;1-5;1-3;1-4;4-8;11-15;9-13;10-16;12-16;13-17;7-13;11-15;10-14;9-13;9-15;9-15;11-17;6-10;11-15;12-16;14-18;7-11;10-14;11-15;10-14;9-13;9-15;11-15;11-15;11-15;11-15;11-17
;Saúl;ESP;Flamengo;MD, M (C);31/12/2028;23/7/2025;11-17;9-13;1-3;1-4;31;MD, M (C);Pé Esquerdo;Espanha;1,84 m;Comunidad Valenciana;21/11/1994;M (C);Acima da Média;;Atlético Madrid;;;67103336;13-17;11-15;8-14;11-15;11-15;5-9;12-16;9-13;11-17;12-16;11-17;8-14;10-14;11-15;10-14;14-18;9-13;13-17;9-13;10-16;9-15;11-15;14-18;9-13;12-18;10-14;10-16;11-15;13-17;13-17;12-16;12-16;12-16;9-15;3-7;1-7;1-3;1-5;1-4;1-3;1-2
;Jefferson Savarino;VEN;Fluminense;M (D), MO (DC);31/12/2029;29/12/2025;9-15;10-14;1;1-5;29;M (D), MO (DC);Pé Direito;Venezuela;1,68 m;;11/11/1996;MO (D);Média;;Botafogo;E.U.A.;A;86039716;15-19;1-3;6-12;11-15;1-4;1-5;12-16;1-5;9-15;12-16;11-17;11-17;11-15;10-14;4-8;12-16;11-15;11-15;2-6;10-16;11-17;14-18;12-16;10-14;5-11;9-13;9-15;3-7;13-17;10-14;13-17;10-14;12-16;10-16;3-7;1-7;1-5;1-3;1-5;1-4;1-2
;Kike Saverio;ECU;Vitória;MO (E), PL (C);30/6/2026;16/9/2025;13-17;5-11;1-3;1-5;26;MO (E), PL (C);Pé Direito;Itália;1,78 m;Liguria;19/6/1999;MO (E);Acima da Média;;Aris Salonica;Espanha;;67259832;12-16;4-8;8-12;8-14;2-8;3-7;10-14;6-10;9-13;12-16;13-17;9-13;8-14;6-12;5-9;8-12;11-15;10-16;4-10;12-16;10-14;12-18;8-12;8-12;5-9;8-12;8-12;4-10;9-15;10-14;8-12;4-10;8-12;4-8;1-5;1-5;1-2;1-4;1-7;1-3;1-5
;Juan Sayago;ARG;Flamengo;M (C), MO (DC);31/12/2028;29/12/2025;-;-;-;-;18;M (C), MO (DC);Pé Preferido Desconhecido;Argentina;1,83 m;La Pampa;2/8/2007;MO (C);Acima da Média;River Plate;-;;S-20;2000531339;10-18;-;-;6-15;-;-;6-14;-;-;7-13;1-8;-;-;-;-;-;-;-;-;-;-;-;-;11-18;-;-;-;-;12-18;-;-;-;7-13;-;-;-;-;-;-;-;-
;Saymon;BRA;EC Bahia;MD, M (C);31/12/2027;1/1/2024;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Brasil;1,81 m;Bahia;7/3/2007;M (C);Abaixo da Média;;-;;;2000442660;-;7-13;-;6-13;-;-;8-14;-;-;6-15;-;-;-;-;1-7;-;-;-;-;-;-;-;9-15;4-10;-;-;-;-;3-12;-;-;-;-;-;-;-;-;-;-;-;-
;Kevin Serna;COL;Fluminense;MO (DE);31/12/2028;29/12/2025;12-16;8-12;1-4;1-3;28;MO (DE);Somente Pé Direito;Colômbia;1,81 m;Pacífica;17/12/1997;MO (E);Acima da Média;;Alianza;Perú;;83278923;11-15;6-10;13-17;10-14;7-13;3-9;11-15;8-12;5-9;9-15;11-15;14-18;8-12;11-17;10-16;11-15;13-17;8-12;11-17;11-15;14-18;10-14;11-15;10-14;8-12;10-14;13-17;3-7;12-18;5-11;11-15;10-16;9-15;13-17;1-5;1-5;3-7;1-7;1-2;1-3;2-6
;Shaylon;BRA;Mirassol;M (C), MO (DEC);31/12/2026;22/8/2025;8-12;6-10;1-5;1-5;28;M (C), MO (DEC);Pé Esquerdo;Brasil;1,78 m;Santa Catarina;28/4/1997;MO (C);Abaixo da Média;;Atlético Goianiense;;;19245683;11-15;5-9;13-17;9-13;5-11;3-9;11-15;6-10;12-16;9-15;10-14;12-16;8-12;11-17;5-11;10-14;10-14;8-12;7-13;10-14;13-17;9-13;8-12;11-15;5-9;9-13;13-17;1-5;11-17;9-15;9-13;7-13;9-15;13-17;1-5;1-3;2-6;1-5;1-2;1-5;1-4
;Sidney;BRA;EC Bahia;MD, M (C);31/12/2028;15/9/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,68 m;Bahia;21/7/2006;M (C);Média;;-;;;2000264550;-;6-14;-;11-20;-;-;6-12;-;-;10-16;-;-;-;-;6-12;-;-;-;-;-;-;-;8-14;8-16;-;-;-;-;4-13;-;-;-;-;-;-;-;-;-;-;-;-
;Luis Sinisterra;COL;Cruzeiro;M/MO (DE);30/6/2028;9/2/2024;9-13;10-14;1-3;1-7;26;M/MO (DE);Pé Direito;Colômbia;1,72 m;Andina;17/6/1999;MO (E);Muito Alta;Bournemouth;Leeds;;A;76047347;10-16;2-6;4-8;11-15;1-5;1-6;8-14;9-13;11-15;12-18;11-15;14-18;13-17;7-11;7-13;8-14;14-18;17-20;6-10;12-16;14-18;16-20;9-15;8-12;3-7;10-14;11-15;5-9;13-17;12-18;8-14;6-10;10-16;11-15;1-5;1-3;1-3;1-3;1-5;1-5;1-4
Prt;Cédric Soares;POR;São Paulo;D/DA (DE);5/2/2027;1/2/2025;10-16;12-16;1-6;4-8;34;D/DA (DE);Pé Direito;Alemanha;1,71 m;Baden-Württemberg;31/8/1991;D (D);Acima da Média;;Arsenal;Alemanha;;55012984;9-13;12-18;9-13;10-14;10-14;12-16;5-9;6-12;8-14;12-16;3-9;9-13;9-13;9-13;9-13;7-11;9-15;11-15;6-10;11-17;10-14;9-13;10-14;9-15;10-16;12-18;9-13;8-12;10-14;14-18;8-12;11-15;13-17;12-16;1-3;1-5;2-6;1-3;1-4;2-6;1-7
;Sorriso;BRA;Athletico-PR;MO (DE), PL (C);31/12/2028;29/12/2025;-;-;-;-;19;MO (DE), PL (C);Pé Preferido Desconhecido;Brasil;1,76 m;;15/4/2006;MO (E);Alta;;Paraná;;;2000218077;-;-;-;9-18;-;-;-;-;-;10-16;10-17;6-13;6-15;-;-;-;9-17;-;-;-;6-13;11-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ignacio Sosa;URU;RB Bragantino;MD, M (DC);31/12/2030;29/12/2025;10-14;11-15;1-4;1-7;22;MD, M (DC);Pé Direito;Uruguai;1,75 m;Montevideo;31/8/2003;MD, M (C);Alta;;Peñarol;;;2000088563;9-15;8-12;4-8;13-17;6-10;2-8;6-12;6-10;9-13;12-18;10-14;10-14;13-17;7-11;7-13;8-14;9-13;12-16;4-8;9-13;11-15;13-17;9-15;10-14;7-11;12-16;10-14;12-16;9-13;6-12;9-15;5-9;9-15;11-15;1-3;1-5;1-5;1-4;3-7;1-7;1-3
;Ramón Sosa;PAR;Palmeiras;MO (DE);30/6/2030;14/7/2025;9-13;7-11;1-4;1-2;26;MO (DE);Pé Direito;Paraguai;1,79 m;Northern Paraguay;31/8/1999;MO (E);Acima da Média;;Nottingham Forest;Argentina;A;2000017278;11-17;5-11;10-14;11-15;7-11;1-4;8-14;5-11;9-13;9-13;8-12;12-16;9-13;12-16;5-9;12-18;11-17;11-15;10-14;9-13;13-17;14-18;11-17;9-15;7-11;7-13;13-17;3-7;13-17;9-13;9-15;11-15;8-12;9-13;1-6;1-5;1-5;1-5;1-3;1;1-4
D;Yeferson Soteldo;VEN;Fluminense;MO (E), PL (C);31/12/2028;9/6/2025;6-10;8-14;2-6;1-4;28;MO (E), PL (C);Pé Direito;Venezuela;1,60 m;;30/6/1997;MO (E);Média;;Santos;;A;86040729;13-17;3-7;11-17;8-14;1-5;1-3;8-12;5-9;7-11;13-17;6-10;13-19;8-14;6-10;7-11;10-14;13-17;6-12;1-4;7-11;14-20;12-18;8-12;13-17;4-8;11-15;11-17;1-7;13-17;9-13;11-15;8-12;9-13;11-17;1-4;1-2;1-7;1-3;1-3;1-4;1-5
;Claudio Spinelli;ARG;Vasco da Gama;PL (C);31/12/2028;29/12/2025;15;15;3;3;28;PL (C);Pé Direito;Argentina;1,80 m;Buenos Aires;21/1/1997;PL (C);Média;;Independiente del Valle;Itália;;14150244;12;7;12;11;8;6;11;15;9;11;14;11;10;9;14;13;12;13;14;15;13;14;15;12;15;16;15;8;10;14;10;13;10;12;2;3;1;2;3;3;3
;Panagiotis Tachtsidis;GRE;Remo;MD, M/MO (C);31/12/2026;1/9/2025;11-17;10-14;1-3;1-4;34;MD, M/MO (C);Pé Esquerdo;Grécia;1,93 m;Peloponnese;15/2/1991;M (C);Média;;CFR Cluj;;;36018958;14-18;7-11;9-15;13-17;8-12;4-8;13-17;10-14;10-16;11-15;11-17;7-13;9-13;9-13;13-17;10-14;7-11;10-14;12-16;10-16;5-11;6-10;12-16;10-14;9-15;8-12;7-13;10-14;9-13;11-15;11-15;9-13;11-15;9-15;2-6;1-5;1-3;1-5;1-3;1-5;1-3
;Tenshiro Takasaki;JPN;Grêmio;M (C);30/6/2027;1/7/2025;-;-;-;-;19;M (C);Pé Preferido Desconhecido;Japão;1,72 m;Osaka-fu;13/2/2006;M (C);Alta;FC Machida;Grêmio;;;2000283688;-;8-15;-;4-13;-;-;4-12;-;-;9-15;-;-;-;-;3-9;-;-;-;-;-;-;-;6-14;13-20;-;-;-;-;6-12;-;-;-;-;-;-;-;-;-;-;-;-
;Gonzalo Tapia;CHI;São Paulo;MO (DE), PL (C);31/12/2029;29/12/2025;14-18;8-14;1-5;1-3;23;MO (DE), PL (C);Pé Direito;Chile;1,78 m;Metropolitana de Santiago;18/2/2002;PL (C);Muito Alta;;River Plate;;A;75054809;11-15;6-10;5-9;10-16;1-6;2-6;8-12;11-15;6-10;10-14;13-17;10-14;11-17;2-8;12-16;14-18;11-15;13-19;9-15;14-18;8-12;11-17;13-17;11-15;5-9;13-17;10-14;9-15;9-15;14-18;6-10;9-15;7-11;9-13;1-5;2-6;1;1-4;1-5;1-5;1-5
;Diego Tarzia;ARG;Vitória;D/DA/M/MO (E);31/12/2027;1/7/2025;10-14;8-12;1-5;1-5;22;D/DA/M/MO (E);Pé Esquerdo;Argentina;1,74 m;;26/4/2003;M (E);Média;Independiente;Vitória;;;2000208899;10-14;11-15;7-11;10-14;7-13;11-17;12-16;7-11;5-9;7-13;11-15;13-17;7-11;9-15;9-15;12-16;11-15;11-15;4-10;4-8;12-16;7-11;13-17;10-14;8-12;13-17;12-16;7-11;13-19;13-19;10-14;11-17;8-14;13-17;1-3;1-5;2-6;1-6;1-3;1-3;1-3
;Cristian Tassano;URU;Remo;D (C);31/12/2027;5/8/2025;13-19;14-18;1;1-5;29;D (C);Pé Direito;Uruguai;1,86 m;Montevideo;23/7/1996;D (C);Abaixo da Média;;Feirense;Itália;;78071000;11-15;10-14;3-9;6-10;11-15;8-12;6-10;9-13;3-9;8-12;5-11;6-12;4-8;3-7;11-15;12-16;7-11;13-17;12-16;12-18;7-13;9-13;13-17;7-11;8-14;9-13;7-13;10-14;2-6;14-18;11-15;10-14;6-10;8-14;2-6;1-6;1-4;1-3;1-3;1-5;1-3
;Duplexe Tchamba;CMR;Remo;D (C);31/12/2026;29/12/2025;16-20;11-17;2-6;1-5;27;D (C);Pé Esquerdo;Camarões;1,87 m;Centre (Cameroon);10/7/1998;D (C);Alta;;Casa Pia;;;49045789;9-13;8-12;1-5;10-16;10-16;6-10;4-8;11-15;3-7;9-13;7-11;7-11;3-9;1-6;11-15;11-15;12-16;10-16;11-17;12-16;11-15;12-18;12-16;8-12;13-17;13-17;4-8;10-16;3-9;12-16;6-10;7-13;6-10;11-15;1-5;3-7;1-2;1-5;1-6;1-4;1-4
;Tchê Tchê;BRA;Vasco da Gama;MD, M (C);31/12/2026;3/1/2025;11;12;2;1;33;MD, M (C);Pé Direito;Brasil;1,75 m;São Paulo;30/8/1992;M (C);Média;;Botafogo;;;19250321;13;12;12;13;12;10;12;7;10;13;10;13;12;11;7;14;14;13;7;15;15;14;13;13;11;12;12;9;13;12;12;12;12;12;2;2;2;3;1;1;2
;Carlos Terán;COL;Athletico-PR;D (DC);31/12/2026;21/8/2025;9-13;8-14;1-5;1-3;25;D (DC);Somente Pé Direito;Colômbia;1,88 m;Pacífica;24/9/2000;D (C);Alta;;Chicago;E.U.A.;;76062372;8-12;14-18;5-11;6-12;11-15;16-20;5-9;13-17;1-4;8-12;3-7;6-12;4-10;2-6;14-18;10-14;15-19;12-18;13-17;8-12;10-16;10-16;13-17;8-12;8-12;11-15;8-14;6-12;3-7;8-12;8-12;8-12;7-11;11-17;1-3;1-3;1-6;1-5;1-3;1-5;2-6
Les;David Terans;URU;Fluminense;MO (EC), PL (C);31/12/2026;24/1/2024;6-12;5-9;1;1-4;31;MO (EC), PL (C);Pé Esquerdo;Uruguai;1,71 m;Montevideo;11/8/1994;MO (C);Alta;;Pachuca;;;78064511;14-18;7-11;11-17;12-16;9-13;7-11;14-18;6-10;13-19;12-16;10-16;10-16;12-16;13-17;4-8;12-16;8-12;11-15;4-8;11-17;9-15;12-16;9-13;9-13;7-13;7-11;10-16;7-11;13-17;8-12;11-15;7-11;10-14;8-14;3-7;1-7;1-3;1-5;1-4;2-6;1-2
;Miguel Terceros;BOL;Santos;MO (DC);24/4/2027;20/7/2022;7-11;11-15;1-5;1-6;21;MO (DC);Pé Esquerdo;Bolívia;1,77 m;;24/4/2004;MO (C);Abaixo da Média;;-;;A;2000088460;9-15;5-9;10-14;13-17;4-8;6-12;8-14;5-9;9-13;10-16;11-15;11-15;11-15;7-11;7-13;8-14;10-14;12-16;3-7;10-14;13-17;13-17;4-10;12-16;6-10;9-13;10-14;8-12;10-14;10-16;8-14;6-10;9-15;10-14;1-3;1-5;1-5;1;3-7;1-7;1-5
;Tete;BRA;São Paulo;MO (DE);30/9/2029;1/10/2025;-;-;-;-;18;MO (DE);Pé Preferido Desconhecido;Brasil;1,80 m;São Paulo;14/4/2007;MO (E);Média;;-;;;2000378992;-;-;-;10-16;-;-;-;-;-;14-20;6-15;9-15;7-13;-;-;-;9-18;-;-;-;10-16;8-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Tetê;BRA;Grêmio;MO (DC);31/12/2029;29/12/2025;8-12;5-11;1-5;1-5;25;MO (DC);Somente Pé Esquerdo;Brasil;1,75 m;Rio Grande do Sul;15/2/2000;MO (D);Acima da Média;;Panathinaikos;;;19348859;15-19;5-9;9-13;12-18;1-7;4-8;9-13;6-10;12-16;15-19;12-16;12-16;10-16;8-14;10-14;11-15;10-14;11-17;4-10;13-17;11-15;12-18;9-13;11-15;7-11;10-14;10-14;6-12;11-17;7-11;9-13;7-13;8-12;8-12;1-3;1-5;1;1-3;1-5;2-6;1-4
